step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,1026,2,0.05160347033733285,0.0,0.0,0.051611989940096886,0.0,0.0,,
2,2052,4,0.05158695187372743,0.0,0.0,,,,,
3,3078,6,0.04290565777945432,0.0,0.0,,,,,
4,4104,8,0.03406183148947548,0.0,0.0,,,,,
5,5130,10,0.028750153088667504,0.5,0.5,,,,,
6,6156,12,0.027906414910839887,0.5,0.5,,,,,
7,7198,14,0.025971822351768006,0.5,0.5,,,,,
8,8240,16,0.024220777433884975,0.0,0.0,,,,,
9,9266,18,0.024140307726797802,0.0,0.0,0.021912557458260835,0.5,0.5,,
10,10308,20,0.023984921485233193,0.0,0.0,,,,,
11,11350,22,0.02128670256040921,0.5,0.5,,,,,
12,12376,24,0.02168388358171541,0.5,0.5,,,,,
13,13402,26,0.021021502737761467,1.0,1.0,,,,,
14,14428,28,0.020276261095607997,1.0,1.0,,,,,
15,15454,30,0.02134720533576989,0.5,0.5,,,,,
16,16480,32,0.019697212430487523,0.5,0.5,,,,,
17,17506,34,0.0192974408813559,1.0,1.0,0.01923023225840647,1.0,1.0,,
18,18548,36,0.01902105118423898,1.0,1.0,,,,,
19,19574,38,0.019267827185770685,1.0,1.0,,,,,
20,20600,40,0.019109196935202095,1.0,1.0,,,,,
21,21626,42,0.018776697463468127,1.0,1.0,,,,,
22,22668,44,0.018267785386590362,1.0,1.0,,,,,
23,23694,46,0.018422318943643837,1.0,1.0,,,,,
24,24720,48,0.019124088821268714,1.0,1.0,,,,,
25,25762,50,0.01811841153726337,1.0,1.0,0.01832431010440264,1.0,1.0,,
26,26788,52,0.018872072450327078,1.0,1.0,,,,,
27,27814,54,0.018390029489734536,1.0,1.0,,,,,
28,28840,56,0.018407656322942105,1.0,1.0,,,,,
29,29882,58,0.02073872184783942,0.5,0.5,,,,,
30,30908,60,0.01904790713800484,1.0,1.0,,,,,
31,31950,62,0.02042319339941097,1.0,1.0,,,,,
32,32976,64,0.01985206006014981,1.0,1.0,,,,,
33,34018,66,0.0191573724395657,1.0,1.0,0.019375048271985627,1.0,1.0,,
34,35044,68,0.01993092766398139,1.0,1.0,,,,,
35,36086,70,0.019167823999238165,1.0,1.0,,,,,
36,37112,72,0.018936322800424465,1.0,1.0,,,,,
37,38138,74,0.018964797259301776,1.0,1.0,,,,,
38,39164,76,0.0186810812180017,1.0,1.0,,,,,
39,40206,78,0.018172312525447248,1.0,1.0,,,,,
40,41248,80,0.018214253931097223,1.0,1.0,,,,,
41,42274,82,0.018801617947060267,1.0,1.0,0.01859433571041394,1.0,1.0,,
42,43316,84,0.018066876388282464,1.0,1.0,,,,,
43,44342,86,0.01851558745316354,1.0,1.0,,,,,
44,45368,88,0.018336304381319484,1.0,1.0,,,,,
45,46394,90,0.01808591480505447,1.0,1.0,,,,,
46,47436,92,0.019131239288263407,0.5,0.5,,,,,
47,48478,94,0.017688087525558525,1.0,1.0,,,,,
48,49504,96,0.018190249544949074,1.0,1.0,,,,,
49,50530,98,0.018052285369537045,1.0,1.0,0.018369370737293486,1.0,1.0,,
50,51556,100,0.018221290271615724,1.0,1.0,,,,,
51,52582,102,0.019001597055444474,1.0,1.0,,,,,
52,53608,104,0.01823033478648947,1.0,1.0,,,,,
53,54634,106,0.01785500434936439,1.0,1.0,,,,,
54,55676,108,0.017725538679181932,1.0,1.0,,,,,
